NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
,,,,,,,,,,,,,,,,,,
N2-25,1008,Dimension 1,0.58,0.78,1.33,3.01,0.71,0.55,0.58,0.86,1.69,2.92,1.301,,,,,
,,Dimension 2,2.05,0.78,1.02,3.00,0.71,0.55,0.58,0.88,1.30,2.36,1.323,1.721223,1.351940416,,,
,,,,,,,,,,,,,,,,,,
N2-27,T-15,Dimension 1,2.33,1.98,1.08,1.12,2.38,3.14,0.34,1.69,0.33,0.50,1.489,,,,,
,,Dimension 2,2.89,5.12,1.30,0.63,2.39,2.72,0.34,1.00,0.66,0.50,1.755,2.613195,2.066291462,,,
,,,,,,,,,,,,,,,,,,
N2-28,WC-5,Dimension 1,1.24,1.08,1.01,2.53,0.57,1.24,0.74,1.16,3.66,1.87,1.51,,,,,
,,Dimension 2,1.24,2.54,1.01,3.72,0.57,2.43,0.74,2.04,4.54,1.80,2.063,3.11513,2.506662837,,,
,,,,,,,,,,,,,,,,,,
N2-29,996,Dimension 1,1.87,0.50,1.97,2.66,1.67,1.51,2.93,1.16,3.28,2.06,1.961,,,,,
,,Dimension 2,1.87,0.50,1.97,2.66,1.55,1.73,2.94,1.16,4.32,1.58,2.028,3.976908,3.124337652,,,
,,,,,,,,,,,,,,,,,,
N2-31,WC-5,Dimension 1,2.81,1.07,2.70,2.53,1.07,2.65,4.21,0.24,1.04,4.19,2.251,,,,,
,,Dimension 2,2.80,1.07,1.98,4.33,1.07,2.65,4.01,0.24,1.04,4.19,2.338,5.262838,4.134909469,,,
,,,,,,,,,,,,,,,,,,
N2-33,11,Dimension 1,0.50,0.81,0.56,1.03,1.11,1.07,1.04,1.73,0.80,1.46,1.011,,,,,
,,Dimension 2,0.50,0.81,0.56,1.03,1.11,1.07,1.04,1.73,0.80,1.46,1.011,1.022121,0.802771956,,,
,,,,,,,,,,,,,,,,,,
N2-35,11,Dimension 1,0.50,0.81,0.56,1.03,1.11,1.07,1.04,1.73,0.80,1.46,1.011,,,,,
,,Dimension 2,0.50,0.81,0.56,1.03,1.11,1.07,1.04,1.73,0.80,1.46,1.011,1.022121,0.802771956,,,
,,,,,,,,,,,,,,,,,,
N2-37,T-15,Dimension 1,1.54,0.91,1.27,0.79,0.79,,,,,,1.06,,,,,
,,Dimension 2,1.57,1.72,1.27,0.79,0.79,,,,,,1.228,1.30168,1.027878851,,,
,,,,,,,,,,,,,,,,,,
N2-44,RL-6,Dimension 1,1.17,1.83,2.95,2.53,5.30,3.11,2.89,2.79,2.91,0.85,2.633,,,,,
,,Dimension 2,1.17,1.83,2.96,1.65,4.51,3.14,2.89,1.68,3.03,0.85,2.371,6.242843,4.916595644,,,
,,,,,,,,,,,,,,,,,,
N2-45,1012,Dimension 1,6.23,4.81,1.78,1.29,0.10,0.38,0.89,4.10,3.14,3.35,2.607,,,,,
,,Dimension 2,5.51,4.81,1.78,1.29,0.10,0.50,1.05,3.40,3.82,4.24,2.65,6.90855,5.426325532,,,
,,,,,,,,,,,,,,,,,,
N3-02,11,Dimension 1,0.25,0.59,0.15,1.00,0.25,1.37,1.69,1.46,0.50,0.75,0.801,,,,,
,,Dimension 2,0.25,0.59,0.15,1.00,0.25,2.53,1.79,2.36,0.50,0.75,1.017,0.814617,0.64895958,,,
,,,,,,,,,,,,,,,,,,
N3-03,1007,Dimension 1,1.50,1.97,2.71,3.51,0.92,1.25,3.15,0.66,1.91,3.64,2.122,,,,,
,,Dimension 2,2.04,1.91,2.71,3.58,0.43,1.25,3.14,0.66,1.96,3.63,2.131,4.521982,3.551572262,,,
,,,,,,,,,,,,,,,,,,
N3-06,996,Dimension 1,1.61,0.50,1.34,0.20,1.10,0.45,1.62,0.58,8.03,0.78,1.621,,,,,
,,Dimension 2,4.32,0.50,1.44,0.20,1.10,0.60,1.62,0.58,8.09,0.78,1.923,3.117183,2.466137667,,,
,,,,,,,,,,,,,,,,,,
N3-09,HE-7,Dimension 1,,,,,,,,,,,#DIV/0!,,,Forgot to do this tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N3-13,1017,Dimension 1,1.92,1.97,0.50,1.23,0.60,1.88,1.43,2.39,3.75,1.34,1.701,,,,,
,,Dimension 2,1.00,1.97,0.50,1.23,0.60,1.87,1.97,2.07,3.56,0.66,1.543,2.624643,2.066291462,,,
,,,,,,,,,,,,,,,,,,
N3-17,1008,Dimension 1,1.42,1.83,2.75,2.51,1.73,3.18,1.16,1.07,3.40,1.89,2.094,,,,,
,,Dimension 2,0.86,1.32,2.75,1.75,1.73,1.69,1.16,1.07,2.49,1.89,1.671,3.499074,2.78329892,,,
,,,,,,,,,,,,,,,,,,
N3-22,1008,Dimension 1,3.60,3.25,1.27,2.20,0.98,2.68,1.10,2.33,1.14,1.55,2.01,,,,,
,,Dimension 2,3.60,3.25,1.27,1.64,0.98,2.68,1.10,2.33,2.18,2.41,2.144,4.30944,3.388151914,,,
,,,,,,,,,,,,,,,,,,
N3-27,996,Dimension 1,1.71,2.65,2.00,1.10,1.70,1.99,2.74,1.89,2.02,1.50,1.93,,,,,
,,Dimension 2,2.01,2.32,2.00,1.10,1.70,1.99,3.40,3.40,2.02,1.50,2.144,4.13792,3.258906792,,,
,,,,,,,,,,,,,,,,,,
